"N","M","E","thetaw","thetapi","A","Asq","extent"
1,106,1,106,0.212,123.081875609993,0.01,"4;4;7;7"
2,152,1,82.9090909090909,0.168666666666667,123.090565712076,0.01,"10;10;9;9"
1,102,1,102,0.204,123.087862750531,0.01,"7;7;2;2"
2,181,6,98.7272727272727,0.197,123.081875609993,0.01,"4;4;3;3"
1,98,2,98,0.196,123.079150098406,0.01,"3;3;2;2"
1,93,3,93,0.186,123.07605969754,0.01,"2;2;8;8"
1,89,0,89,0.178,123.084236226026,0.01,"5;5;9;9"
1,85,0,85,0.17,123.086231941069,0.01,"6;6;9;9"
1,91,3,91,0.182,123.072604414509,0.01,"1;1;3;3"
1,85,0,85,0.17,123.086231941069,0.01,"6;6;9;9"
4,257,8,99.1184573002755,0.192214285714286,369.240175806805,0.04,"3;4;2;3"
2,162,5,88.3636363636364,0.175666666666667,246.170468167095,0.04,"5;6;10;11"
3,202,5,88.4671532846715,0.175866666666667,369.264854151717,0.04,"7;8;2;3"
2,166,5,90.5454545454546,0.182666666666667,246.158300196811,0.04,"3;4;1;2"
2,149,2,81.2727272727273,0.159666666666667,123.090029638528,0.04,"9;10;6;7"
2,167,4,91.0909090909091,0.180333333333333,246.1740946916,0.04,"6;7;3;4"
2,149,2,81.2727272727273,0.159666666666667,123.090029638528,0.04,"9;10;6;7"
5,276,15,97.5620704166082,0.1896,492.310419591891,0.04,"2;3;7;8"
3,202,5,88.4671532846715,0.175866666666667,369.264854151717,0.04,"7;8;2;3"
2,181,4,98.7272727272727,0.197666666666667,246.170468167095,0.04,"5;6;1;2"
3,207,5,90.6569343065694,0.171733333333333,369.269724001259,0.09,"8;10;1;3"
7,315,20,99.0524374930737,0.191098901098901,738.474170811877,0.09,"2;4;6;8"
6,279,15,92.3878582265175,0.182818181818182,492.318961015932,0.09,"2;4;4;6"
4,235,6,90.633608815427,0.179142857142857,246.155209795945,0.09,"1;3;4;6"
2,152,1,82.9090909090909,0.168666666666667,123.090565712076,0.09,"8;10;9;11"
4,231,6,89.0909090909091,0.172714285714286,246.180595350604,0.09,"9;11;5;7"
2,157,0,85.6363636363637,0.175333333333333,246.170468167095,0.09,"5;7;7;9"
4,230,5,88.7052341597796,0.173785714285714,492.34093633419,0.09,"5;7;8;10"
6,288,17,95.3681117176954,0.187333333333333,615.3830240064,0.09,"1;3;6;8"
1,97,4,97,0.194,123.089128650655,0.09,"7;9;8;10"
14,370,36,95.0800750106735,0.187492063492063,1353.91260601649,0.16,"3;6;2;5"
5,265,9,93.6737270304391,0.178666666666667,615.430064984845,0.16,"5;8;7;10"
14,370,36,95.0800750106735,0.187492063492063,1353.91260601649,0.16,"3;6;2;5"
5,270,12,95.4411558423341,0.186311111111111,615.418455613107,0.16,"4;7;6;9"
5,253,7,89.4318978818909,0.173511111111111,369.269724001259,0.16,"8;11;7;10"
13,362,27,94.864771346397,0.183630769230769,1107.71906785075,0.16,"2;5;1;4"
12,361,36,96.6716173411254,0.185913043478261,1230.85088122233,0.16,"4;7;2;5"
9,331,28,96.2334483399227,0.183516339869281,984.670799390195,0.16,"4;7;4;7"
14,365,37,93.7952091321509,0.183243386243386,1230.80602958836,0.16,"2;5;2;5"
8,324,16,97.6424474203371,0.187316666666667,861.581112140994,0.16,"3;6;7;10"
19,402,51,95.6781507233595,0.183419630156472,1723.14387550997,0.25,"2;6;1;5"
8,324,16,97.6424474203371,0.187316666666667,861.581112140994,0.25,"3;7;7;11"
8,312,19,94.0260604788431,0.176116666666667,738.539619163815,0.25,"7;11;3;7"
5,253,7,89.4318978818909,0.173511111111111,369.269724001259,0.25,"7;11;7;11"
8,312,19,94.0260604788431,0.176116666666667,738.539619163815,0.25,"7;11;3;7"
11,335,30,91.8976778779867,0.181722943722944,1107.80734743507,0.25,"7;11;1;5"
8,324,16,97.6424474203371,0.187316666666667,861.581112140994,0.25,"3;7;7;11"
19,402,51,95.6781507233595,0.183419630156472,1723.14387550997,0.25,"2;6;1;5"
20,408,60,95.9200356656137,0.184517948717949,1846.23083724759,0.25,"2;6;2;6"
8,324,16,97.6424474203371,0.187316666666667,861.581112140994,0.25,"3;7;7;11"
15,371,34,93.6477589803447,0.17711724137931,1353.95593044065,0.36,"5;10;5;10"
19,411,74,97.8201988738824,0.188088193456615,1846.246266795,0.36,"3;8;3;8"
15,389,45,98.1913160198223,0.177397701149425,1477.05392037469,0.36,"5;10;3;8"
11,334,20,91.6233564514852,0.17834632034632,861.618985536544,0.36,"6;11;5;10"
18,399,49,96.2192022396485,0.178914285714286,1846.31225129231,0.36,"5;10;2;7"
11,365,32,100.12732067303,0.188294372294372,1230.83635262767,0.36,"3;8;6;11"
22,424,66,97.471295276259,0.183181818181818,2092.3825917605,0.36,"1;6;1;6"
15,389,45,98.1913160198223,0.177397701149425,1477.05392037469,0.36,"5;10;3;8"
17,396,54,96.8499735465363,0.18417825311943,1846.28618098606,0.36,"4;9;1;6"
15,363,44,91.6284002961324,0.181866666666667,1477.06604325827,0.36,"6;11;1;6"
24,430,79,96.8912806266357,0.180159574468085,2338.64245669383,0.49,"4;10;3;9"
19,396,52,94.2501186230108,0.176358463726885,1846.30699395834,0.49,"5;11;4;10"
18,406,55,97.9072584192915,0.184996825396825,1969.31687549738,0.49,"2;8;5;11"
28,441,105,96.0028795759166,0.183432467532468,2707.79703344979,0.49,"2;8;3;9"
15,371,34,93.6477589803447,0.17711724137931,1353.95593044065,0.49,"5;11;5;11"
19,396,52,94.2501186230108,0.176358463726885,1846.30699395834,0.49,"5;11;4;10"
27,441,97,96.7760650359631,0.184638714185884,2707.85293573874,0.49,"3;9;2;8"
18,391,46,94.2899951771994,0.179619047619048,1723.20155727063,0.49,"4;10;5;11"
24,421,76,94.8633235902643,0.181544326241135,2461.64255346042,0.49,"2;8;4;10"
24,426,80,95.9899663882484,0.184432624113475,2338.59679423915,0.49,"3;9;3;9"
26,439,88,97.1494023697419,0.179871794871795,2584.81292486092,0.64,"4;11;3;10"
28,443,92,96.4382667848777,0.180598701298701,2830.98991626211,0.64,"4;11;2;9"
22,414,64,95.1724439725736,0.178479915433404,2215.55262078832,0.64,"4;11;4;11"
26,439,88,97.1494023697419,0.179871794871795,2584.81292486092,0.64,"4;11;3;10"
35,467,131,96.9171013855442,0.182949896480331,3446.38566675414,0.64,"3;10;2;9"
27,426,88,93.4843621435834,0.179619846261356,2707.82261273747,0.64,"2;9;4;11"
27,442,96,96.9955118954551,0.182800838574423,2707.90964889153,0.64,"4;11;1;8"
32,460,120,97.2872527408994,0.182914682539683,3077.12952525455,0.64,"3;10;3;10"
27,426,88,93.4843621435834,0.179619846261356,2707.82261273747,0.64,"2;9;4;11"
35,467,131,96.9171013855442,0.182949896480331,3446.38566675414,0.64,"3;10;2;9"
37,474,149,97.240567415617,0.182701962236209,3692.55613492123,0.81,"3;11;2;10"
44,487,225,96.4574200146386,0.181276907001045,4307.93514497877,0.81,"2;10;1;9"
35,462,134,95.8794450537931,0.181012008281573,3446.29276972296,0.81,"1;9;3;11"
32,460,120,97.2872527408994,0.182914682539683,3077.12952525455,0.81,"3;11;3;11"
40,477,165,96.3056724318768,0.181111392405063,4061.71809095948,0.81,"1;9;1;9"
32,460,120,97.2872527408994,0.182914682539683,3077.12952525455,0.81,"3;11;3;11"
35,462,134,95.8794450537931,0.181012008281573,3446.29276972296,0.81,"1;9;3;11"
37,474,149,97.240567415617,0.182701962236209,3692.55613492123,0.81,"3;11;2;10"
39,475,153,96.3977571002159,0.183096237096237,3815.64558336114,0.81,"3;11;1;9"
32,460,120,97.2872527408994,0.182914682539683,3077.12952525455,0.81,"3;11;3;11"
44,488,236,96.6554845321225,0.181229362591432,4307.93643340893,1,"2;11;2;11"
46,494,256,96.9852200527828,0.180843764930721,4554.08164223795,1,"1;10;2;11"
46,494,256,96.9852200527828,0.180843764930721,4554.08164223795,1,"1;10;2;11"
48,498,299,96.9560760460669,0.180749122807018,4800.25082197488,1,"1;10;1;10"
46,494,256,96.9852200527828,0.180843764930721,4554.08164223795,1,"1;10;2;11"
48,495,311,96.3720032988014,0.181576315789474,4677.19635001593,1,"2;11;1;10"
46,494,256,96.9852200527828,0.180843764930721,4554.08164223795,1,"1;10;2;11"
48,495,311,96.3720032988014,0.181576315789474,4677.19635001593,1,"2;11;1;10"
48,495,311,96.3720032988014,0.181576315789474,4677.19635001593,1,"2;11;1;10"
44,488,236,96.6554845321225,0.181229362591432,4307.93643340893,1,"2;11;2;11"
50,500,0,96.5739891086697,0.181172929292929,4923.34155884495,1.21,"1;11;1;11"
50,500,0,96.5739891086697,0.181172929292929,4923.34155884495,1.21,"1;11;1;11"
50,500,0,96.5739891086697,0.181172929292929,4923.34155884495,1.21,"1;11;1;11"
